user_id,destination_id,score,timestamp
user_001,dest_010,4.2,2025-11-26 18:32:24
user_001,dest_002,4.4,2025-11-26 18:32:24
user_001,dest_020,4.4,2025-11-26 18:32:24
user_001,dest_016,3.2,2025-11-26 18:32:24
user_001,dest_011,2.5,2025-11-26 18:32:24
user_001,dest_015,3.8,2025-11-26 18:32:24
user_001,dest_009,2.9,2025-11-26 18:32:24
user_002,dest_004,3.8,2025-11-26 18:32:24
user_002,dest_009,4.0,2025-11-26 18:32:24
user_002,dest_008,4.2,2025-11-26 18:32:24
user_002,dest_020,4.3,2025-11-26 18:32:24
user_002,dest_019,4.4,2025-11-26 18:32:24
user_002,dest_017,2.9,2025-11-26 18:32:24
user_002,dest_006,3.0,2025-11-26 18:32:24
user_002,dest_016,2.5,2025-11-26 18:32:24
user_003,dest_009,3.0,2025-11-26 18:32:24
user_003,dest_014,2.4,2025-11-26 18:32:24
user_003,dest_019,2.8,2025-11-26 18:32:24
user_004,dest_018,4.2,2025-11-26 18:32:24
user_004,dest_003,3.6,2025-11-26 18:32:24
user_004,dest_017,3.7,2025-11-26 18:32:24
user_005,dest_018,3.5,2025-11-26 18:32:24
user_005,dest_017,3.7,2025-11-26 18:32:24
user_005,dest_011,4.6,2025-11-26 18:32:24
user_005,dest_009,2.6,2025-11-26 18:32:24
user_005,dest_008,3.1,2025-11-26 18:32:24
user_005,dest_019,3.2,2025-11-26 18:32:24
user_006,dest_017,2.3,2025-11-26 18:32:24
user_006,dest_009,4.4,2025-11-26 18:32:24
user_006,dest_015,2.5,2025-11-26 18:32:24
user_007,dest_013,4.2,2025-11-26 18:32:24
user_007,dest_017,3.3,2025-11-26 18:32:24
user_007,dest_003,3.5,2025-11-26 18:32:24
user_007,dest_014,4.4,2025-11-26 18:32:24
user_007,dest_004,2.5,2025-11-26 18:32:24
user_007,dest_006,2.2,2025-11-26 18:32:24
user_008,dest_010,4.1,2025-11-26 18:32:24
user_008,dest_018,2.0,2025-11-26 18:32:24
user_008,dest_009,4.1,2025-11-26 18:32:24
user_009,dest_014,2.4,2025-11-26 18:32:24
user_009,dest_006,4.7,2025-11-26 18:32:24
user_009,dest_017,3.6,2025-11-26 18:32:24
user_010,dest_008,2.5,2025-11-26 18:32:24
user_010,dest_017,2.7,2025-11-26 18:32:24
user_010,dest_005,4.2,2025-11-26 18:32:24
user_010,dest_016,2.2,2025-11-26 18:32:24
user_010,dest_011,2.1,2025-11-26 18:32:24
user_010,dest_010,4.3,2025-11-26 18:32:24
user_010,dest_003,4.7,2025-11-26 18:32:24
user_010,dest_012,4.1,2025-11-26 18:32:24
user_999,dest_001,4.0,2025-11-26 18:34:58
user_999,dest_002,4.2,2025-11-26 18:34:58
user_999,dest_003,4.4,2025-11-26 18:34:58
user_999,dest_004,4.6,2025-11-26 18:34:58
user_999,dest_005,4.8,2025-11-26 18:34:58
user_1000,dest_140,0.0,2025-11-27 04:05:05
user_1000,dest_145,0.0,2025-11-27 04:08:32
user_1000,dest_206,5.0,2025-11-27 04:11:15
user_1000,dest_186,5.0,2025-11-27 04:13:04
user_1000,dest_118,5.0,2025-11-27 04:14:01
user_1000,dest_035,5.0,2025-11-27 04:14:27
user_1000,dest_091,5.0,2025-11-27 04:15:15
user_1000,dest_019,5.0,2025-11-27 04:17:42
user_1000,dest_020,3.5,2025-11-27 04:22:37
user_1000,dest_021,5.0,2025-11-27 04:33:43
user_1000,dest_030,0.0,2025-11-27 04:43:07
user_1000,dest_042,0.0,2025-11-27 04:44:40
user_1000,dest_008,5.0,2025-11-27 04:51:39
user_1000,dest_200,5.0,2025-11-27 04:54:05
user_1000,dest_009,5.0,2025-11-27 05:15:58
user_1000,dest_017,5.0,2025-11-27 05:17:15
user_1000,dest_016,5.0,2025-11-27 05:19:35
user_1000,dest_011,5.0,2025-11-27 05:20:02
user_1000,dest_002,5.0,2025-11-27 05:21:03
user_1000,dest_015,5.0,2025-11-27 05:21:42
user_1000,dest_137,3.5,2025-11-27 05:41:52
user_1002,dest_127,0.0,2025-12-05 16:44:45
